id;titolo;corso;materia;argomento;data;ora;durataOre;autoreMatricola;tipo;candidati;confermato;contatti;note;cancellato;cancellatoAt;daRiconfermare;cancellazioneVistaDa
32e795a4-f5d1-4f9a-8062-8fa10ecddf0f;Ripetizioni di Progettazione Architettonica (Tutor);Architettura;Progettazione Architettonica;;2026-09-01;14:00;1;0011223344;OFFER;;;;;false;;;
b38b11bd-3679-4be6-8fdd-e4bf0eb6659a;Ripetizioni di Storia dell'Architettura (Tutor);Architettura;Storia dell'Architettura;;2026-09-02;11:00;2;0011223344;OFFER;;;2020202020;Preferisco sessioni pomeridiane, ma sono flessibile.;false;;;
f1b58029-0528-4b95-87cc-17be0e6d7aa6;Aiuto con Disegno Tecnico (Studente);Architettura;Disegno Tecnico;;2026-09-03;15:00;2;0011223344;REQUEST;;;;;false;;;
86b6f5b8-9f1f-4d0e-b8df-51179add1986;Aiuto con Biomeccanica (Studente);Biomedical Engineering;Biomeccanica;;2026-09-04;11:00;2;0011223355;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
0877af28-20a0-45fd-b9ab-912544d62ee2;Aiuto con Strumentazione Biomedica (Studente);Biomedical Engineering;Strumentazione Biomedica;;2026-09-05;16:00;1;0011223355;REQUEST;;;;Ho gia' seguito le lezioni, mi serve solo un ripasso mirato.;false;;;
d6101a07-f337-46ee-9c80-5246701e46d2;Ripetizioni di Data Analytics (Tutor);Digital Transformation Management;Data Analytics;;2026-09-06;11:00;2;0011223366;OFFER;0011224422,0011223399;;;;false;;;
e7f05175-fd81-4c5a-b506-b7a32e9e5923;Ripetizioni di Digital Marketing (Tutor);Digital Transformation Management;Digital Marketing;;2026-09-07;10:00;2;0011223366;OFFER;;;;;false;;;
81880faf-72f5-4a32-96fb-887f53d8ffea;Aiuto con Business Analytics (Studente);Digital Transformation Management;Business Analytics;;2026-09-08;15:00;2;0011223366;REQUEST;;;;Vorrei concentrarmi soprattutto sugli esercizi d'esame.;false;;;
8c61d06f-eccb-4967-860d-3bb8c4c65d91;Aiuto con Bioingegneria Elettronica (Studente);Ingegneria biomedica;Bioingegneria Elettronica;;2026-09-09;11:00;1;0011223377;REQUEST;;;;;false;;;
6fa488ba-da1c-45f4-af0d-98e0acffe15c;Aiuto con Fisiologia Umana (Studente);Ingegneria biomedica;Fisiologia Umana;;2026-09-10;11:00;3;0011223377;REQUEST;;;;;false;;;
b8f998f3-d9ba-41bf-96ae-6163eb0e285e;Ripetizioni di Algoritmi e Strutture Dati (Tutor);Ingegneria e scienze informatiche;Algoritmi e Strutture Dati;;2026-09-11;10:00;2;0011223388;OFFER;;;;Ho gia' superato l'esame con voto alto, posso condividere schemi e appunti.;false;;;
bf261ae8-e562-49b0-bce7-65cdac6ac6b5;Ripetizioni di Basi di Dati (Tutor);Ingegneria e scienze informatiche;Basi di Dati;;2026-09-12;16:00;1;0011223388;OFFER;;;;;false;;;
5613998b-ff23-4e31-a134-d600768a0db6;Aiuto con Sistemi Operativi (Studente);Ingegneria e scienze informatiche;Sistemi Operativi;;2026-09-13;17:00;2;0011223388;REQUEST;;;;;false;;;
6b8c73e6-f12b-49f0-87d1-2c14e092fc02;Aiuto con Campi Elettromagnetici (Studente);Ingegneria elettronica;Campi Elettromagnetici;;2026-09-14;18:00;2;0011223399;REQUEST;;;;;false;;;
49737f93-5df0-4368-a9cc-9d8f558659ab;Aiuto con Elettronica Digitale (Studente);Ingegneria elettronica;Elettronica Digitale;;2026-09-15;17:00;3;0011223399;REQUEST;;;;;false;;;
c59d9d3b-1ae6-4fd6-8440-6ff305cb494a;Ripetizioni di Reti Neurali (Tutor);Ingegneria elettronica per l'intelligenza artificiale;Reti Neurali;;2026-09-16;11:00;2;0011224400;OFFER;;;;Preferisco sessioni pomeridiane, ma sono flessibile.;false;;;
fc59991a-224b-4c87-ba65-e2ec05f11bd3;Ripetizioni di Machine Learning (Tutor);Ingegneria elettronica per l'intelligenza artificiale;Machine Learning;;2026-09-17;11:00;1;0011224400;OFFER;;;;;false;;;
fe46f357-ed68-4ec1-a0ec-94a6a0a23f49;Aiuto con Elaborazione dei Segnali (Studente);Ingegneria elettronica per l'intelligenza artificiale;Elaborazione dei Segnali;;2026-09-18;16:00;2;0011224400;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
22f642c2-81b8-4883-a55d-8ce080fe4765;Aiuto con Neuropsicologia (Studente);Neuroscienze e riabilitazione neuropsicologica;Neuropsicologia;;2026-09-19;15:00;2;0011224411;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
7fafe986-f388-4875-ac6c-fcc238112bd2;Aiuto con Neuroanatomia (Studente);Neuroscienze e riabilitazione neuropsicologica;Neuroanatomia;;2026-09-20;10:00;2;0011224411;REQUEST;;;;Disponibile anche online se piu' comodo per il tutor.;false;;;
d03b7f35-cfbe-4fa2-a0c0-6f9c1680fa37;Ripetizioni di Psicopatologia (Tutor);Psicologia clinica;Psicopatologia;;2026-09-21;15:00;1;0011224422;OFFER;0011224433;;;Disponibile su prenotazione, porto anche materiale extra.;false;;;
bd722116-1064-4adb-89d3-ac96c93abadd;Ripetizioni di Colloquio Clinico (Tutor);Psicologia clinica;Colloquio Clinico;;2026-09-22;10:00;1;0011224422;OFFER;;;;;false;;;
